call_tx_hash,call_block_number,gas_price,tokens,clearingPrices,trades
0x9a9d29cf57eec2c3ac8e5cf4e1984ddf30eb9b708af5380c350dd395b60da747,20842716,22512333999,[0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2],[675702271894863831239753728 1802379882825404416 1882610587446793687 1795746521597806075 1882610587446793687 408804721466143689 1095366441],"[{""sellTokenIndex"":3,""buyTokenIndex"":4,""receiver"":""0xba3eff3dd2b4442b6c141c5008260dc18824f2f1"",""sellAmount"":8347127038529613057,""buyAmount"":7959236045049141939,""validTo"":1727451436,""appData"":""0x924f5e36ae70c8cdad505bc4807be76099024df2520e89d14478e42c52084441"",""feeAmount"":0,""flags"":2,""executedAmount"":1882610587446793687,""signature"":""0x42f03167a200d107ece818f3f73ba5d5166698550cfea474a445065149e2eb1971664e5961d90d4bd21130c4c039801b3763aa3ae3a725049e1d3474407e701e1c""} {""sellTokenIndex"":5,""buyTokenIndex"":6,""receiver"":""0x0000000000000000000000000000000000000000"",""sellAmount"":1095366441,""buyAmount"":408422025712910370,""validTo"":1727449487,""appData"":""0x362e5182440b52aa8fffe70a251550fbbcbca424740fe5a14f59bf0c1b06fe1d"",""feeAmount"":0,""flags"":66,""executedAmount"":1095366441,""signature"":""0xf08d4dea369c456d26a3168ff0024b904f2d8b91000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004149f72900000000000000000000000000000000000000000000000005ab01ab211040220000000000000000000000000000000000000000000000000000000066f6c98f362e5182440b52aa8fffe70a251550fbbcbca424740fe5a14f59bf0c1b06fe1d0000000000000000000000000000000000000000000000000000000000000000f3b277728b3fee749481eb3e0b3b48980dbbab78658fc419025cb16eee34677500000000000000000000000000000000000000000000000000000000000000015a28e9363bb942b639270062aa6bb295f434bcdfc42c97267bf003f272060dc95a28e9363bb942b639270062aa6bb295f434bcdfc42c97267bf003f272060dc9""}]"
0x36ade13a244741d6b0de1133ac7a4203a816fb9de6c780767648179547ac25d2,20842704,18884935879,[0x4104b135dbc9609fc1a9490e61369036497660c8 0x4c9edd5852cd905f086c759e8383e09bff1e68b3 0x9d39a5de30e57443bff2a8307a4256c8797a3497 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdac17f958d2ee523a2206206994597c13d831ec7 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xdac17f958d2ee523a2206206994597c13d831ec7 0x4c9edd5852cd905f086c759e8383e09bff1e68b3 0x9d39a5de30e57443bff2a8307a4256c8797a3497 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x4104b135dbc9609fc1a9490e61369036497660c8],[3601938712054330286 16810796960059929659 18446744073709551616 16868235400140385204116331308895 44586737895357512086485 16872030776699377561091098976055 32617326123 32640364989 65745999728263775336556 72176200608570553663488 4906726922711791030124 400000000000000000],"[{""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0x016c6d9d43a6fc4a34409fc40fc49ca74b465303"",""sellAmount"":32640364989,""buyAmount"":32454958994,""validTo"":1727450762,""appData"":""0x71a155fce0334e246225b90bf0938d8b83974fa0eb7b8734389f87c27aa734b9"",""feeAmount"":0,""flags"":0,""executedAmount"":32640364989,""signature"":""0x464af6b3d006515660a20fdef4ad3d666c1b7031117bf3d46a8c92f07d57103419a56e5037501877b1b9c7db933fd8bd1c2d86b019148b2ca482e184b8164c6d1b""} {""sellTokenIndex"":8,""buyTokenIndex"":9,""receiver"":""0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091"",""sellAmount"":500000000000000000000000,""buyAmount"":455373406193078324225865,""validTo"":1727702333,""appData"":""0x5c15afad771ff6aa7f8d884957934b8a3b33b6015db0631f88764ba607e9ee44"",""feeAmount"":0,""flags"":2,""executedAmount"":72176200608570553663488,""signature"":""0x77f866dd3c785cdf885e02bd50b62c64165e09e06003ace92d931d71066b09a5776fcb7a404542aa1ca15d307e8f49118e9df4ee20f818711277b11a3db67c531c""} {""sellTokenIndex"":10,""buyTokenIndex"":11,""receiver"":""0xfad85cfb8ba2288df114d4327cd218d04c7d015c"",""sellAmount"":400000000000000000,""buyAmount"":4881532747332483418091,""validTo"":1727450820,""appData"":""0xa517cb7620afde39bad1ba35d81e31fd9dc181d82d983482c8dcae31b0901cd2"",""feeAmount"":0,""flags"":0,""executedAmount"":400000000000000000,""signature"":""0xf94bae3a864b123c2f20afce62560298302c4c415d1e48eeb15dc5f8d7a2e4316000d5eab1501540b82995c6715f0aa9afd7252c3bd638124e4e011d3e08379f1b""}]"
0xa3ab0362c03a60d93e4c27baea369790a43763f1c49455773a93d1a44ad89f71,20842698,19334591417,[0x18084fba666a33d37592fa2633fd49a74dd93a88 0x33abe795f9c1b6136608c36db211bd7590f5fdae 0x560363bda52bc6a44ca6c8c9b4a5fadbda32fa60 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee 0x18084fba666a33d37592fa2633fd49a74dd93a88 0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0x560363bda52bc6a44ca6c8c9b4a5fadbda32fa60 0x33abe795f9c1b6136608c36db211bd7590f5fdae 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2],[246428525799446176000000000 18553631735167416 5450448596691190808576 3731904305651670159460453228478464 10000000000000000000000000 10000000000000000000000000 241041742792810237 10000000000000000 676258369500056274124 1000000000 90067035071926806 50000000000000000000000000],"[{""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0x87a96b1bc32e3443d5d802f2fb53e835409bf6b3"",""sellAmount"":10000000000000000,""buyAmount"":237860381456126625,""validTo"":1727450672,""appData"":""0x41a3f9b8b52c87b9ceb4189dbf72a4294519c902f46e1af6fb9b7182dcb78069"",""feeAmount"":0,""flags"":0,""executedAmount"":10000000000000000,""signature"":""0x91598912fc14441fd5226ee7c7699b2e68f82abf02706425788005ecdb77227349253764e301d092468057e289b5589fc6b6ef6ed12f03c0beb352b75d51f6231b""} {""sellTokenIndex"":8,""buyTokenIndex"":9,""receiver"":""0x14c90a5e3f0933dd21f84074e10ef4fe4f16e683"",""sellAmount"":1000000000,""buyAmount"":671783019789370389023,""validTo"":1727450686,""appData"":""0x71a155fce0334e246225b90bf0938d8b83974fa0eb7b8734389f87c27aa734b9"",""feeAmount"":0,""flags"":0,""executedAmount"":1000000000,""signature"":""0x1f2aa4e5b639ab06e763529123eedf9be71dcd36fd732cf8f20d9496ee697b1219cc815d1420fda9af294fe7ab7747ca6280ed4574a497b607160b243bc6268c1c""} {""sellTokenIndex"":10,""buyTokenIndex"":11,""receiver"":""0xbbe2c3572d97aa0b2cbe14ff4e4b47971ee7aa34"",""sellAmount"":50000000000000000000000000,""buyAmount"":89026339313526385,""validTo"":1727450729,""appData"":""0x1c7b4941c6da6b41076b41ed00a01d6e80c6cad0215de549456b86c07cdb1c86"",""feeAmount"":0,""flags"":0,""executedAmount"":50000000000000000000000000,""signature"":""0x1847c359e3825d4d013ff62be9135de70b3feabb9a8dd101bc019d3498cc30811df4b5580420971f2800053acd7508abf53286e9aa3e82262e8cb75b177b2e8f1c""}]"
0x569e3fe4f333d2b32468ca18b6eed75858200eb253b1bdff81b1876d0561b732,20842694,20246007754,[0x0d02755a5700414b26ff040e1de35d337df56218 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xc98d64da73a6616c42117b582e832812e7b8d57f 0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee 0xff836a5821e69066c87e268bc51b849fab94240c 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xff836a5821e69066c87e268bc51b849fab94240c 0xc98d64da73a6616c42117b582e832812e7b8d57f 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x0d02755a5700414b26ff040e1de35d337df56218 0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee],[6120204640247014400 12420430623957820865773568000000000 33678945825015507909083136 1853437861144925569024 33678945825015507909083136 661550792000000000 12128206882092018675804660 661550792 216014880978229334 4001675973736336565105 757322087281734087 4189155165487067101853283],"[{""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0xa4cc4932722afe738abf7afd840537d75523445b"",""sellAmount"":661550792,""buyAmount"":11957821897758960835503334,""validTo"":1727450626,""appData"":""0x2553421042b17db89482c0ca8821af623c4e8bb1fe0b3bf9da3a316d217dc030"",""feeAmount"":0,""flags"":0,""executedAmount"":661550792,""signature"":""0x860473ce0b3f41c9d996f847591a02d964e9a6f7ed493ba8848921d88ac0be676f8ecd1e0011e5d18e37296e1de822ef15ea28e5756068e675aa3ab3887459091c""} {""sellTokenIndex"":8,""buyTokenIndex"":9,""receiver"":""0xe8e1874958cecc8c4f45149cc3ecdfa83785a930"",""sellAmount"":4001675973736336565105,""buyAmount"":214301625238982536,""validTo"":1727450640,""appData"":""0xa517cb7620afde39bad1ba35d81e31fd9dc181d82d983482c8dcae31b0901cd2"",""feeAmount"":0,""flags"":0,""executedAmount"":4001675973736336565105,""signature"":""0x06b7f1937a47a593af23b989b742d1183ed1d5178cd00a8975e8a1c968d2c062488766852d3b0adab31d52bd9900b7d817d1a77aabafc6ce80f41c18cd7fabb21b""} {""sellTokenIndex"":10,""buyTokenIndex"":11,""receiver"":""0xd2e80d60aff5377587e49ff32c9bad639d6f68bc"",""sellAmount"":4189155165487067101853283,""buyAmount"":754644366861692061,""validTo"":1727450623,""appData"":""0x75cffd57e963f7fbd6f09c4c62ba464630b1a8fe68c4f3698aeaf9bc6ff8db84"",""feeAmount"":0,""flags"":0,""executedAmount"":4189155165487067101853283,""signature"":""0x03a6c12608ad7e36ad9b4b75f230eb8bd298565a4df00cf2daa38f2cbea0df4727d1b2e170e2fd1f12584f50108e389f328d70d585d91dea9779247f5cd207791c""}]"
0xc9a56d5dcc998e3c034da21ed482f9c43eef585abaf27ee63dbd235fb7163f57,20842689,19047411320,[0x011e128ec62840186f4a07e85e3ace28858c5606 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab 0x011e128ec62840186f4a07e85e3ace28858c5606 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48],[1546116108606468096 6909030711492185296927262244864 18746878879169293320192 2000000000000000000 18655445489529092195112 2000000000000000000 307646738 1400000000000000000000],"[{""sellTokenIndex"":4,""buyTokenIndex"":5,""receiver"":""0x6d93a6b2cd2b38f4ed3d1ad580a63579807891fb"",""sellAmount"":2000000000000000000,""buyAmount"":18296358702243060141128,""validTo"":4294967295,""appData"":""0xa4d96b2db19d6eb3e785d5154cb1031fbc9f7ec8491abf2ba651a86aa905642f"",""feeAmount"":0,""flags"":64,""executedAmount"":2000000000000000000,""signature"":""0x40a50cf069e992aa4536211b23f286ef8875218740a50cf069e992aa4536211b23f286ef88752187""} {""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0x7de5fa861684933c9c1fc3b609ebe88c885b7b76"",""sellAmount"":1400000000000000000000,""buyAmount"":300409803,""validTo"":1727450341,""appData"":""0x71a155fce0334e246225b90bf0938d8b83974fa0eb7b8734389f87c27aa734b9"",""feeAmount"":0,""flags"":0,""executedAmount"":1400000000000000000000,""signature"":""0x77347457684172b1e11aa5bc72a5dcf8e45950fe933193fab2d5df5d97899f2556f36e2b4cce79b21168a2c9e047601908217d4b5b104a906e0f82c8261fe7cf1b""}]"
0x564bccfd73e9238dfb2eccae28db04650453b8ec5b69df1e93f746c4e749e983,20842665,19211573561,[0x1f9840a85d5af5bf1d1762f925bdaddc4201f984 0x3b50805453023a91a8bf641e279401a0b23fa6f9 0x58cb30368ceb2d194740b144eab4c2da8a917dcb 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdac17f958d2ee523a2206206994597c13d831ec7 0x58cb30368ceb2d194740b144eab4c2da8a917dcb 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0x3b50805453023a91a8bf641e279401a0b23fa6f9 0xdac17f958d2ee523a2206206994597c13d831ec7 0x1f9840a85d5af5bf1d1762f925bdaddc4201f984 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2],[275793687 1752317 903146 36893488147419103232 98988281017 37110254262536733518 2416521813 100000000000000000000000 4265454806 90606967911188188428516 499111535242899390 180000000000000000000],"[{""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0xebaedc745ea26677014a6cb62b1cf282ff59a2b8"",""sellAmount"":100000000000000000000000,""buyAmount"":2386092965,""validTo"":1727450350,""appData"":""0x71a155fce0334e246225b90bf0938d8b83974fa0eb7b8734389f87c27aa734b9"",""feeAmount"":0,""flags"":0,""executedAmount"":100000000000000000000000,""signature"":""0xe92aa8a7575eeb7293024c89adfa83ae5b356a2a8ae83812030dfd36c9f873763ea3339f78c906c80ccb6f26f8352d93495b8f07e898a072ef886b61db08bbbd1c""} {""sellTokenIndex"":8,""buyTokenIndex"":9,""receiver"":""0xdf7ec568c7e09449c963b64a959d66a8545c4338"",""sellAmount"":90606967911188188428516,""buyAmount"":4241201047,""validTo"":1727450338,""appData"":""0xa517cb7620afde39bad1ba35d81e31fd9dc181d82d983482c8dcae31b0901cd2"",""feeAmount"":0,""flags"":0,""executedAmount"":90606967911188188428516,""signature"":""0x02385b30eab58e19b76f0febab15235f3fed0100627b848807eea6cb50ab5b2b3716edc8dbec477c7247cd2eafa96598b74bbcdfbb301aad3bf5664421cca07f1c""} {""sellTokenIndex"":10,""buyTokenIndex"":11,""receiver"":""0xa5605f21b496deb24e552fa0a3fe4ffc13961005"",""sellAmount"":180000000000000000000,""buyAmount"":496948276735061217,""validTo"":1727450338,""appData"":""0xa517cb7620afde39bad1ba35d81e31fd9dc181d82d983482c8dcae31b0901cd2"",""feeAmount"":0,""flags"":0,""executedAmount"":180000000000000000000,""signature"":""0x2a468ac857cd6ff26c6e40a14b5a1931d39b169c80566889746e6d6ad1636c1b5b46f1950eadaafde343f02bca3de9ac45c6b563996c2f6ca7b459387cab4df51c""}]"
0x0eccfda00f3589e169021875ad54884069ce1fb69a8928d398515939c2b7715b,20842663,20888675220,[0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0x67466be17df832165f8c80a5a120ccc652bd7e69 0x6f40d4a6237c257fff2db00fa0510deeecd303eb 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xba3335588d9403515223f109edc4eb7269a9ab5d 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf 0xdac17f958d2ee523a2206206994597c13d831ec7 0x2260fac5e5542a773aa44fbcfedf7c193bc2c599 0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf 0xdac17f958d2ee523a2206206994597c13d831ec7 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x67466be17df832165f8c80a5a120ccc652bd7e69 0x6f40d4a6237c257fff2db00fa0510deeecd303eb 0xba3335588d9403515223f109edc4eb7269a9ab5d],[246565184331970703125000000000 32249605625 444173423372556 375158470755770730649554024 2095309998460 999341268228049280 247507031572467374804514455765 376233334086169660091400144 74694143 74997147 4982909641 4980726598 3909706941214803254230063 130000000000000000 1795916848506184840522297 8500000000000000000000],"[{""sellTokenIndex"":8,""buyTokenIndex"":9,""receiver"":""0x58a725de2039b3b1991c3a8b4afba77b5bdb10ae"",""sellAmount"":74997147,""buyAmount"":74689260,""validTo"":1727450201,""appData"":""0xd79b61b5928f551039860123cb3488ae7fd3f249f35af547aca19b1c5e4e592c"",""feeAmount"":0,""flags"":0,""executedAmount"":74997147,""signature"":""0x8df4ac858ffa7e739dcbe458f06b23c3a4d979a094509dc744c96ee07b2fd34e26305b87816dd9c698d0dce73a735a1f2caf2fcbd44037544d129ed82a0ae5181b""} {""sellTokenIndex"":10,""buyTokenIndex"":11,""receiver"":""0xbfa1000f67349475439a93d8960dc957dab0de6b"",""sellAmount"":2000000000000,""buyAmount"":2000000000000,""validTo"":1742592483,""appData"":""0x5c15afad771ff6aa7f8d884957934b8a3b33b6015db0631f88764ba607e9ee44"",""feeAmount"":0,""flags"":2,""executedAmount"":4980726598,""signature"":""0x245b85ceca05fedd0b6f7f38b8e17cbfee541d47a79e6aa865fb1f777396b4496825e7fd946c22ebf0ae22a9c0c4f1118d20ac2e5ecae1c3a344912321cacc611c""} {""sellTokenIndex"":12,""buyTokenIndex"":13,""receiver"":""0x2daa841c3ef43c9589cbfacb76eb0a66c53b5bf9"",""sellAmount"":130000000000000000,""buyAmount"":3850456707601353299420942,""validTo"":4294967295,""appData"":""0x917ca8cb2fa9049049bc4d6e02b8b76b83a9a485172a98bb5794b3e59b6f54a1"",""feeAmount"":0,""flags"":64,""executedAmount"":130000000000000000,""signature"":""0x40a50cf069e992aa4536211b23f286ef8875218740a50cf069e992aa4536211b23f286ef88752187""} {""sellTokenIndex"":14,""buyTokenIndex"":15,""receiver"":""0x47512cefdc4010ee64684bdca5df52972a866955"",""sellAmount"":8500000000000000000000,""buyAmount"":1759138194128447562136834,""validTo"":1727450208,""appData"":""0x0b3c3e9e670e9d94cadda9ec14271171a589b3479f849857b23773f30da28b9b"",""feeAmount"":0,""flags"":0,""executedAmount"":8500000000000000000000,""signature"":""0x82411da61d496f4980d9ea07fef4487282cb417ecaf884a375f0919b444943266acfbbd8e31cdf9c10164c2dbc3848e29a937e5f62200d7a45b86ac393558f481c""}]"
0xca1f5b93fc8e14a15550604f6a509b8c9700c6e34740c3c6735f46885a137bb3,20842648,20118346909,[0x69457a1c9ec492419344da01daf0df0e0369d5d0 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdc035d45d973e3ec169d2276ddab16f1e407384f 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0x69457a1c9ec492419344da01daf0df0e0369d5d0 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdc035d45d973e3ec169d2276ddab16f1e407384f],[1000000000000000000 2835304359248910227779324095575 7628575191100749212397 2882213061895733491 12485172330931864099528 4415237878 5369450624 2000000000000000000 309427805331457310737 120000000000000000],"[{""sellTokenIndex"":4,""buyTokenIndex"":5,""receiver"":""0x7dc7da0e7e40ceb127a2f2669e743c835533a168"",""sellAmount"":4415237878,""buyAmount"":7299380893099354278909,""validTo"":1727501568,""appData"":""0x8791f49daceceae364bf8e07c353dedafc9ef4e5a9a6fb0db6f05e801cfc006b"",""feeAmount"":0,""flags"":64,""executedAmount"":4415237878,""signature"":""0x7dc7da0e7e40ceb127a2f2669e743c835533a1685fd7e97dc078f884a2676e1345748b1feace7b0abee5d00ecadb6e574dcdd109a63e8943d5a25ba2e97094ad7d83dc28a6572da797d6b3e7fc6663bd93efb789fc17e489000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000000000000000000000000000000002200000000000000000000000000000000000000000000000000000000000000180000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800000000000000000000000069457a1c9ec492419344da01daf0df0e0369d5d00000000000000000000000007dc7da0e7e40ceb127a2f2669e743c835533a16800000000000000000000000000000000000000000000000000000001072b2ef600000000000000000000000000000000000000000000018bb342587f1494cbfd0000000000000000000000000000000000000000000000000000000066f795008791f49daceceae364bf8e07c353dedafc9ef4e5a9a6fb0db6f05e801cfc006b0000000000000000000000000000000000000000000000000000000000000000f3b277728b3fee749481eb3e0b3b48980dbbab78658fc419025cb16eee34677500000000000000000000000000000000000000000000000000000000000000005a28e9363bb942b639270062aa6bb295f434bcdfc42c97267bf003f272060dc95a28e9363bb942b639270062aa6bb295f434bcdfc42c97267bf003f272060dc90000000000000000000000000000000000000000000000000000000000000280000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000024000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006cf1e9ca41f7611def408122793c358a3d11e5a500000000000000000000000000000000000000000000000000000019214c578300000000000000000000000000000000000000000000000000000000000000600000000000000000000000000000000000000000000000000000000000000140000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb4800000000000000000000000069457a1c9ec492419344da01daf0df0e0369d5d00000000000000000000000007dc7da0e7e40ceb127a2f2669e743c835533a16800000000000000000000000000000000000000000000000000000001072b2ef600000000000000000000000000000000000000000000018bb342587f1494cbfd00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021000000000000000000000000000000000000000000000000000000000000cff500000000000000000000000000000000000000000000000000000000000000008791f49daceceae364bf8e07c353dedafc9ef4e5a9a6fb0db6f05e801cfc006b0000000000000000000000000000000000000000000000000000000000000000""} {""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0xc28d30dd716a40b0c19215b732ce7be0e80a5098"",""sellAmount"":2000000000000000000,""buyAmount"":5257937414,""validTo"":4294967295,""appData"":""0x40cd9ffdf5729f4c4825e01aa5ed5b7bec18ffea338f62e7a591d0551ae888e1"",""feeAmount"":0,""flags"":64,""executedAmount"":2000000000000000000,""signature"":""0x40a50cf069e992aa4536211b23f286ef8875218740a50cf069e992aa4536211b23f286ef88752187""} {""sellTokenIndex"":8,""buyTokenIndex"":9,""receiver"":""0xbf50ed1b1091663d56994c9c8125b182de513e87"",""sellAmount"":120000000000000000,""buyAmount"":305542572716642628812,""validTo"":4294967295,""appData"":""0xa2996559f46b17377530d3a087e5db71c160170bd1ba598f19357385fb67e32a"",""feeAmount"":0,""flags"":64,""executedAmount"":120000000000000000,""signature"":""0x40a50cf069e992aa4536211b23f286ef8875218740a50cf069e992aa4536211b23f286ef88752187""}]"
0xb7a430bcf82af2b7f32ac5f1ac476756847269aaeada51caecfe1dde86b2fbaa,20842641,20871714644,[0x046eee2cc3188071c02bfc1745a6b17c656e3f3d 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdac17f958d2ee523a2206206994597c13d831ec7 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xdac17f958d2ee523a2206206994597c13d831ec7 0x046eee2cc3188071c02bfc1745a6b17c656e3f3d 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48],[5795789310636968 79228162514264337593543950336 212187691637822057773 79079948480223314971248926709 32172539420 12000000000000000000 8000000000 109637389754739989329850],"[{""sellTokenIndex"":4,""buyTokenIndex"":5,""receiver"":""0x54a6c26d954d4ea45ceb80a436c7db055f70f1e1"",""sellAmount"":12000000000000000000,""buyAmount"":31514299904,""validTo"":4294967295,""appData"":""0x55de8fd3cfa30f3e8cb0e68b1b793c91168a6c393957731f8d526d9365fc6f64"",""feeAmount"":0,""flags"":64,""executedAmount"":12000000000000000000,""signature"":""0x40a50cf069e992aa4536211b23f286ef8875218740a50cf069e992aa4536211b23f286ef88752187""} {""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0xf0268a2d2250a03423cbaee387f22fc38d0e0a31"",""sellAmount"":110203757854945802719395,""buyAmount"":8000000000,""validTo"":1727450065,""appData"":""0x71a155fce0334e246225b90bf0938d8b83974fa0eb7b8734389f87c27aa734b9"",""feeAmount"":0,""flags"":1,""executedAmount"":8000000000,""signature"":""0xb885f95d97c80ac59e1a6f02e5fa16ae70ace6a59022523bc8bf758147ed77e20fc7897ed9afdbfe4343000cac8e4e7153da1740252941a3dd9badd5fa7885141b""}]"
0x4d62011b0380a883b5b6c3629cd6812e2d2d502dde96a5128fb88474242b6fba,20842556,23624512560,[0x594daad7d77592a2b97b725a7ad59d7e188b5bfa 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2 0x594daad7d77592a2b97b725a7ad59d7e188b5bfa],[2994743413296532912 30000000000000000000000 10555109648 24507499729922526761975808 30000000000000000000000 10570822063 24488051743610206156718041 3000000000000000000],"[{""sellTokenIndex"":4,""buyTokenIndex"":5,""receiver"":""0x1405f9beae7b74ece74f6734d1a1302e1873211c"",""sellAmount"":10589356284,""buyAmount"":30000000000000000000000,""validTo"":1727447528,""appData"":""0xf7d04e2284a3c4c282eb8b5f292d697b46e8e82ef0e922d265ad07220c0c10e5"",""feeAmount"":0,""flags"":1,""executedAmount"":30000000000000000000000,""signature"":""0x2237d902bcfb1f13a20115688976477ade265a186b4372b6123aedb8d06c08071d4d328dce9f63436ce4d50c084ff47a200bba9d2f6eba0ca6560b931b18f8841c""} {""sellTokenIndex"":6,""buyTokenIndex"":7,""receiver"":""0x8ac6a89a3484b372acf4f0de03646c8b2a962911"",""sellAmount"":3000000000000000000,""buyAmount"":23979231682151927838785909,""validTo"":4294967295,""appData"":""0xa4d96b2db19d6eb3e785d5154cb1031fbc9f7ec8491abf2ba651a86aa905642f"",""feeAmount"":0,""flags"":64,""executedAmount"":3000000000000000000,""signature"":""0x40a50cf069e992aa4536211b23f286ef8875218740a50cf069e992aa4536211b23f286ef88752187""}]"
